leak_size,leak_location,length,pressure,flow_rate
8,560,1232,172374.5828,3881.48
10,560,0,173038.3383,4219
10,560,616,172674.381,3797.1
10,560,1232,172374.394,3797.1
15,560,0,173002.5325,4219
15,560,616,172641.5212,3586.15
15,560,1232,172373.9403,3586.15
18,560,0,172982.0311,4219
18,560,616,172622.7067,3459.58
18,560,1232,172373.6804,3459.58
20,560,0,172968.7728,4219
20,560,616,172610.5392,3375.2
20,560,1232,172373.5124,3375.2
25,560,0,172937.0591,4219
25,560,616,172581.4348,3164.25
25,560,1232,172373.1105,3164.25
28,560,0,172919.013,4219
28,560,616,172564.8735,3037.68
28,560,1232,172372.8818,3037.68
30,560,0,172907.3914,4219
30,560,616,172554.2081,2953.3
30,560,1232,172372.7345,2953.3
1,610,0,173108.5429,4219
1,610,616,172738.2604,4176.81
1,610,1232,172375.2762,4176.81
2,610,0,173101.0737,4219
2,610,616,172730.8623,4134.62
2,610,1232,172375.174,4134.62
5,610,0,173079.1211,4219
5,610,616,172709.1185,4008.05
5,610,1232,172374.8737,4008.05
8,610,0,173057.8509,4219
8,610,616,172688.0507,3881.48
8,610,1232,172374.5828,3881.48
10,610,0,173044.0499,4219
10,610,616,172674.381,3797.1
10,610,1232,172374.394,3797.1
15,610,0,173010.8745,4219
15,610,616,172641.5212,3586.15
15,610,1232,172373.9403,3586.15
18,610,0,172991.8792,4219
18,610,616,172622.7067,3459.58
18,610,1232,172373.6804,3459.58
20,610,0,172979.5948,4219
20,610,616,172610.5392,3375.2
20,610,1232,172373.5124,3375.2
25,610,0,172950.2109,4219
25,610,616,172581.4348,3164.25
25,610,1232,172373.1105,3164.25
28,610,0,172933.4905,4219
28,610,616,172564.8735,3037.68
28,610,1232,172372.8818,3037.68
30,610,0,172922.7227,4219
30,610,616,172554.2081,2953.3
30,610,1232,172372.7345,2953.3
1,672,0,173109.2847,4219
1,672,616,172738.9304,4219
1,672,1232,172375.2762,4176.81
2,672,0,173102.5499,4219
2,672,616,172732.1956,4219
2,672,1232,172375.174,4134.62
5,672,0,173082.7555,4219
5,672,616,172712.4012,4219
5,672,1232,172374.8737,4008.05
8,672,0,173063.5765,4219
8,672,616,172693.2222,4219
8,672,1232,172374.5828,3881.48
10,672,0,173051.1323,4219
10,672,616,172680.778,4219
10,672,1232,172374.394,3797.1
15,672,0,173021.2186,4219
15,672,616,172650.8643,4219
15,672,1232,172373.9403,3586.15
18,672,0,173004.0908,4219
18,672,616,172633.7365,4219
18,672,1232,172373.6804,3459.58
20,672,0,172993.0142,4219
20,672,616,172622.6599,4219
20,672,1232,172373.5124,3375.2
25,672,0,172966.5191,4219
25,672,616,172596.1648,4219
25,672,1232,172373.1105,3164.25
28,672,0,172951.4426,4219
28,672,616,172581.0883,4219
28,672,1232,172372.8818,3037.68
30,672,0,172941.7334,4219
30,672,616,172571.3791,4219
30,672,1232,172372.7345,2953.3
1,727,0,173109.9428,4219
1,727,616,172739.5885,4219
1,727,1232,172375.2762,4176.81
2,727,0,173103.8593,4219
2,727,616,172733.505,4219
2,727,1232,172375.174,4134.62
5,727,0,173085.9796,4219
5,727,616,172715.6252,4219
5,727,1232,172374.8737,4008.05
8,727,0,173068.6556,4219
8,727,616,172698.3013,4219
8,727,1232,172374.5828,3881.48
10,727,0,173057.4151,4219
10,727,616,172687.0608,4219
10,727,1232,172374.394,3797.1
15,727,0,173030.3948,4219
15,727,616,172660.0405,4219
15,727,1232,172373.9403,3586.15
18,727,0,173014.9237,4219
18,727,616,172644.5694,4219
18,727,1232,172373.6804,3459.58
20,727,0,173004.9184,4219
20,727,616,172634.5641,4219
20,727,1232,172373.5124,3375.2
25,727,0,172980.9861,4219
25,727,616,172610.6318,4219
25,727,1232,172373.1105,3164.25
28,727,0,172967.3678,4219
28,727,616,172597.0135,4219
28,727,1232,172372.8818,3037.68
30,727,0,172958.5977,4219
30,727,616,172588.2434,4219
30,727,1232,172372.7345,2953.3
1,784,0,173110.6247,4219
1,784,616,172740.2704,4219
1,784,1232,172375.2762,4176.81
2,784,0,173105.2164,4219
2,784,616,172734.8621,4219
2,784,1232,172375.174,4134.62
5,784,0,173089.3209,4219
5,784,616,172718.9666,4219
5,784,1232,172374.8737,4008.05
8,784,0,173073.9195,4219
8,784,616,172703.5652,4219
8,784,1232,172374.5828,3881.48
10,784,0,173063.9264,4219
10,784,616,172693.5721,4219
10,784,1232,172374.394,3797.1
15,784,0,173039.9046,4219
15,784,616,172669.5503,4219
15,784,1232,172373.9403,3586.15
18,784,0,173026.1504,4219
18,784,616,172655.7961,4219
18,784,1232,172373.6804,3459.58
20,784,0,173017.2555,4219
20,784,616,172646.9012,4219
20,784,1232,172373.5124,3375.2
25,784,0,172995.9791,4219
25,784,616,172625.6248,4219
25,784,1232,172373.1105,3164.25
28,784,0,172983.8721,4219
28,784,616,172613.5178,4219
28,784,1232,172372.8818,3037.68
30,784,0,172976.0753,4219
30,784,616,172605.721,4219
30,784,1232,172372.7345,2953.3
1,839,0,173111.2828,4219
1,839,616,172740.9285,4219
1,839,1232,172375.2762,4176.81
2,839,0,173106.5259,4219
2,839,616,172736.1716,4219
2,839,1232,172375.174,4134.62
5,839,0,173092.5449,4219
5,839,616,172722.1906,4219
5,839,1232,172374.8737,4008.05
8,839,0,173078.9986,4219
8,839,616,172708.6443,4219
8,839,1232,172374.5828,3881.48
10,839,0,173070.2092,4219
10,839,616,172699.8549,4219
10,839,1232,172374.394,3797.1
15,839,0,173049.0808,4219
15,839,616,172678.7265,4219
15,839,1232,172373.9403,3586.15
18,839,0,173036.9833,4219
18,839,616,172666.629,4219
18,839,1232,172373.6804,3459.58
20,839,0,173029.1598,4219
20,839,616,172658.8055,4219
20,839,1232,172373.5124,3375.2
25,839,0,173010.4461,4219
25,839,616,172640.0918,4219
25,839,1232,172373.1105,3164.25
28,839,0,172999.7974,4219
28,839,616,172629.4431,4219
28,839,1232,172372.8818,3037.68
30,839,0,172992.9397,4219
30,839,616,172622.5854,4219
30,839,1232,172372.7345,2953.3
1,896,0,173111.9647,4219
1,896,616,172741.6104,4219
1,896,1232,172375.2762,4176.81
2,896,0,173107.883,4219
2,896,616,172737.5287,4219
2,896,1232,172375.174,4134.62
5,896,0,173095.8862,4219
5,896,616,172725.5319,4219
5,896,1232,172374.8737,4008.05
8,896,0,173084.2625,4219
8,896,616,172713.9082,4219
